EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,MeanHrsWorked,MaxHrsWorked,SumHrsWorked,StdHrsWorked,SickDays,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating
1,51,No,Travel_Rarely,Sales,3.7282260000000003,2,Life Sciences,1,Female,1,Healthcare Representative,Married,15228.84817692,1.0,Y,11,8,0,1.0,6,1,0,0,6.870228692547778,7.948333333333333,1710.6869444444444,1.883424331856389,17,3.0,4.0,2.0,3,3
2,31,Yes,Travel_Frequently,Research & Development,6.21371,1,Life Sciences,1,Female,1,Research Scientist,Single,4863.80337093,0.0,Y,23,8,1,6.0,3,5,1,4,7.315970548861945,8.55888888888889,1821.6766666666667,1.7473564217997222,13,3.0,2.0,4.0,2,4
3,32,No,Travel_Frequently,Research & Development,10.563307,4,Other,1,Male,4,Sales Executive,Married,22441.53534336,1.0,Y,15,8,3,5.0,2,5,0,3,6.816080990629167,7.993611111111111,1697.2041666666667,1.2014979747841668,7,2.0,2.0,1.0,3,3
4,38,No,Non-Travel,Research & Development,1.242742,5,Life Sciences,1,Male,3,Human Resources,Married,9661.42464777,3.0,Y,11,8,3,13.0,5,8,7,5,6.789214636323056,7.890833333333333,1690.5144444444445,1.6832226495680556,14,4.0,4.0,3.0,2,3
5,32,No,Travel_Rarely,Research & Development,6.21371,1,Medical,1,Male,1,Sales Executive,Single,2719.27130454,4.0,Y,12,8,2,9.0,2,6,0,4,7.877561356537223,8.828333333333335,1961.5127777777777,1.0517510968683335,4,4.0,1.0,3.0,3,3
6,46,No,Travel_Rarely,Research & Development,4.970968,3,Life Sciences,1,Female,4,Research Director,Married,4726.794825269999,3.0,Y,13,8,0,28.0,5,7,7,7,10.275802097277777,11.74388888888889,2558.674722222222,2.3360781898847223,12,3.0,2.0,2.0,3,3
7,28,Yes,Travel_Rarely,Research & Development,6.835081,2,Medical,1,Male,2,Sales Executive,Single,6749.41250781,2.0,Y,20,8,1,5.0,2,0,0,0,6.450876840696112,8.092222222222222,1606.2683333333334,1.7775637884072224,17,1.0,3.0,1.0,3,4
8,29,No,Travel_Rarely,Research & Development,11.184678,3,Life Sciences,1,Male,2,Sales Executive,Married,3649.3038899099997,2.0,Y,22,8,3,10.0,2,0,0,0,6.5635575635875005,7.370833333333334,1634.3258333333333,1.0694446391836112,6,1.0,2.0,3.0,3,4
9,31,No,Travel_Rarely,Research & Development,0.621371,3,Life Sciences,1,Male,3,Laboratory Technician,Married,2373.26667228,0.0,Y,21,8,0,10.0,2,9,7,8,6.684316153502778,8.029166666666667,1664.3947222222223,1.9480720414369446,19,2.0,4.0,3.0,3,4
10,25,No,Non-Travel,Research & Development,4.349597,4,Medical,1,Female,4,Laboratory Technician,Divorced,15632.907277679999,1.0,Y,13,8,1,6.0,2,6,1,5,6.653576528335556,7.9158333333333335,1656.7405555555556,1.7113004899466666,15,2.0,1.0,3.0,3,3
11,45,No,Travel_Rarely,Research & Development,10.563307,2,Medical,1,Male,2,Laboratory Technician,Married,9278.265155669998,0.0,Y,13,8,2,21.0,2,20,4,10,8.133493975903612,9.50388888888889,2025.24,1.5155282051866668,8,3.0,4.0,3.0,2,3
12,36,No,Travel_Rarely,Research & Development,17.398388,1,Life Sciences,1,Male,1,Laboratory Technician,Married,3920.99880249,0.0,Y,12,8,2,16.0,2,15,10,11,6.841839580544167,7.836944444444445,1703.6180555555557,1.2856867715630556,8,,4.0,3.0,3,3
13,55,No,Travel_Rarely,Research & Development,8.699194,4,Life Sciences,1,Female,1,Sales Executive,Single,6430.112931059999,0.0,Y,17,8,0,37.0,2,36,4,13,8.55430834448889,9.955833333333333,2130.022777777778,2.5482182809275002,20,4.0,1.0,3.0,3,3
14,47,Yes,Non-Travel,Research & Development,0.621371,1,Medical,1,Male,1,Research Scientist,Married,6690.19694994,1.0,Y,11,8,2,10.0,4,10,9,9,8.8714212405175,10.4675,2208.983888888889,2.1881819081097222,14,1.0,2.0,2.0,2,3
15,28,No,Travel_Rarely,Research & Development,0.621371,3,Life Sciences,1,Male,1,Manufacturing Director,Married,3009.54364704,1.0,Y,14,8,0,5.0,2,5,0,4,5.894035029004722,7.136388888888889,1467.6147222222223,1.113140737853889,8,4.0,4.0,2.0,3,3
16,37,No,Travel_Rarely,Research & Development,0.621371,3,Life Sciences,1,Male,2,Healthcare Representative,Married,6207.18377202,4.0,Y,11,8,0,7.0,2,5,0,1,6.382033690316668,7.608888888888889,1589.1263888888889,1.471868016992778,12,3.0,4.0,4.0,3,3
17,21,No,Travel_Rarely,Research & Development,1.8641130000000001,2,Life Sciences,1,Male,1,Laboratory Technician,Single,4891.669515809999,1.0,Y,12,8,3,3.0,3,3,1,0,6.034225792056945,7.6338888888888885,1502.5222222222221,1.9060331461711113,22,4.0,3.0,4.0,2,3
18,37,No,Non-Travel,Research & Development,0.621371,3,Medical,1,Male,2,Sales Executive,Divorced,4791.81582999,2.0,Y,13,8,1,15.0,2,5,0,2,10.881625390450555,11.696388888888889,2709.5247222222224,1.2428177356427779,3,1.0,4.0,3.0,3,3
19,35,No,Travel_Rarely,Sales,4.349597,4,Life Sciences,1,Male,1,Sales Representative,Divorced,2830.73588406,7.0,Y,16,8,0,10.0,5,7,6,2,6.4850557786700005,7.9783333333333335,1614.7788888888888,1.785078032566111,17,2.0,2.0,2.0,2,3
20,38,No,Travel_Rarely,Research & Development,4.970968,3,Life Sciences,1,Female,1,Manager,Divorced,7976.6839719,1.0,Y,11,8,1,8.0,5,8,7,7,8.621732485497501,10.172777777777778,2146.8113888888893,2.428395970889167,18,1.0,1.0,3.0,3,3
21,26,No,Travel_Frequently,Research & Development,0.621371,4,Other,1,Male,2,Laboratory Technician,Divorced,12129.900648390001,1.0,Y,18,8,0,6.0,3,6,1,4,7.072532351628611,8.41638888888889,1761.0605555555555,1.9427324236033334,17,3.0,2.0,1.0,3,3
22,50,No,Travel_Rarely,Sales,4.970968,4,Life Sciences,1,Male,1,Research Scientist,Divorced,11224.25093979,3.0,Y,23,8,0,28.0,2,10,1,6,5.622517849174445,6.816944444444444,1400.0069444444443,1.5032958602358333,16,1.0,2.0,2.0,2,4
23,53,No,Travel_Rarely,Research & Development,6.835081,4,Life Sciences,1,Female,2,Research Scientist,Married,2494.0199667599995,3.0,Y,11,8,0,21.0,2,5,1,3,7.828470548861945,9.423333333333334,1949.2891666666667,2.1434375578708336,17,3.0,3.0,2.0,3,3
25,29,No,Travel_Frequently,Research & Development,9.941936,4,Medical,1,Male,1,Laboratory Technician,Single,7562.175066809999,1.0,Y,11,8,1,10.0,2,10,0,9,6.580408299866112,8.049444444444445,1638.5216666666668,1.866526374251667,18,2.0,4.0,2.0,3,3
26,55,No,Travel_Rarely,Research & Development,0.621371,4,Other,1,Female,1,Research Scientist,Married,7894.24662663,3.0,Y,11,8,0,12.0,2,10,0,8,9.0612148594375,10.199444444444444,2256.2425000000003,1.6772092844227777,8,2.0,4.0,3.0,3,3
27,26,No,Travel_Frequently,Research & Development,5.592339,3,Life Sciences,1,Female,1,Manager,Married,18915.306926669997,1.0,Y,22,8,0,5.0,3,5,3,3,10.536275100401388,11.963055555555556,2623.5325,2.1790071053797226,10,1.0,1.0,3.0,3,4
28,37,No,Travel_Rarely,Sales,3.106855,1,Marketing,1,Male,1,Research Scientist,Single,3140.74674585,1.0,Y,11,8,0,17.0,2,17,5,7,7.207425256581667,8.349166666666667,1794.648888888889,1.7192892430008333,13,4.0,4.0,3.0,3,3
29,44,Yes,Travel_Frequently,Research & Development,0.621371,2,Medical,1,Male,2,Research Scientist,Divorced,11997.53646021,3.0,Y,14,8,1,19.0,2,1,0,0,10.713065595716111,11.830833333333333,2667.5533333333333,1.7146802946552777,6,4.0,3.0,1.0,2,3
30,38,No,Travel_Rarely,Sales,1.242742,3,Marketing,1,Female,1,Manager,Divorced,5164.52551776,9.0,Y,12,8,0,10.0,3,2,1,2,6.310013386880834,7.616388888888889,1571.1933333333334,1.8372991996630557,19,4.0,4.0,3.0,2,3
31,26,Yes,Travel_Rarely,Research & Development,2.485484,3,Medical,1,Male,3,Research Scientist,Divorced,7958.10654198,2.0,Y,11,8,0,5.0,5,3,0,2,9.662807898259445,10.83361111111111,2406.0391666666665,2.1031556635608335,11,1.0,2.0,3.0,2,3
