,EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,Salary,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,MeanHrsWorked,MaxHrsWorked,SumHrsWorked,StdHrsWorked,SickDays,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,PaytoEffortRatio,SatisfactionRatio,DevelopmentRatio,FlightRatio,AgeGroup
0,1,51,0,Travel_Rarely,Sales,3.728226,2,Life Sciences,Female,1,Healthcare Representative,Married,182746.17812304,1.0,11,0,1.0,6,1,0,0,6.870228692547778,7.948333333333333,1710.6869444444444,1.883424331856389,17,3.0,4.0,2.0,3,3,106.82619559149548,3.493333493546306,7.0,0.3333333333333333,48-53
1,2,31,1,Travel_Frequently,Research & Development,6.21371,1,Life Sciences,Female,1,Research Scientist,Single,58365.64045116,0.0,23,1,6.0,3,5,1,4,7.315970548861945,8.55888888888889,1821.6766666666667,1.7473564217997222,13,3.0,2.0,4.0,2,4,32.039516956627864,3.280494343123536,2.5,0.0,30-35
2,3,32,0,Travel_Frequently,Research & Development,10.563307,4,Other,Male,4,Sales Executive,Married,269298.42412032,1.0,15,3,5.0,2,5,0,3,6.816080990629167,7.993611111111111,1697.2041666666669,1.2014979747841668,7,2.0,2.0,1.0,3,3,158.6717905891228,0.5868474869208934,9.0,0.1,30-35
3,4,38,0,Non-Travel,Research & Development,1.242742,5,Life Sciences,Male,3,Human Resources,Married,115937.09577324,3.0,11,3,13.0,5,8,7,5,6.789214636323056,7.890833333333333,1690.5144444444445,1.6832226495680556,14,4.0,4.0,3.0,2,3,68.58095543297208,7.070037194463501,1.375,0.0576923076923076,36-41
4,5,32,0,Travel_Rarely,Research & Development,6.21371,1,Medical,Male,1,Sales Executive,Single,32631.255654480003,4.0,12,2,9.0,2,6,0,4,7.877561356537223,8.828333333333335,1961.5127777777773,1.0517510968683337,4,4.0,1.0,3.0,3,3,16.635759921711223,1.5233140634368727,5.0,0.1111111111111111,30-35
5,6,46,0,Travel_Rarely,Research & Development,4.970968,3,Life Sciences,Female,4,Research Director,Married,56721.53790323999,3.0,13,0,28.0,5,7,7,7,10.275802097277776,11.74388888888889,2558.674722222222,2.3360781898847223,12,3.0,2.0,2.0,3,3,22.16832698998841,1.167792050333374,1.125,0.0357142857142857,42-47
6,7,28,1,Travel_Rarely,Research & Development,6.835081,2,Medical,Male,2,Sales Executive,Single,80992.95009371999,2.0,20,1,5.0,2,0,0,0,6.450876840696112,8.092222222222222,1606.2683333333334,1.7775637884072224,17,1.0,3.0,1.0,3,4,50.42305100147443,0.4650530577601712,5.0,0.4,24-29
7,8,29,0,Travel_Rarely,Research & Development,11.184678,3,Life Sciences,Male,2,Sales Executive,Married,43791.646678920006,2.0,22,3,10.0,2,0,0,0,6.5635575635875005,7.370833333333334,1634.325833333333,1.0694446391836112,6,1.0,2.0,3.0,3,4,26.794930231019837,0.9141383985547812,7.0,0.2,24-29
8,9,31,0,Travel_Rarely,Research & Development,0.621371,3,Life Sciences,Male,3,Laboratory Technician,Married,28479.20006736,0.0,21,0,10.0,2,9,7,8,6.684316153502778,8.029166666666667,1664.3947222222223,1.9480720414369448,19,2.0,4.0,3.0,3,4,17.11084497392295,3.590494442340716,0.625,0.0,30-35
9,10,25,0,Non-Travel,Research & Development,4.349597,4,Medical,Female,4,Laboratory Technician,Divorced,187594.88733216,1.0,13,1,6.0,2,6,1,5,6.653576528335556,7.915833333333333,1656.7405555555556,1.7113004899466666,15,2.0,1.0,3.0,3,3,113.2313002799969,0.9017706453736314,3.5,0.0833333333333333,24-29
