,0
0,412
1,3879
2,3729
3,1807
4,2151
5,2873
6,1372
7,1758
8,2975
9,1937
10,1467
11,2585
12,3415
13,3925
14,2531
15,3826
16,2146
17,1320
18,1266
19,1308
20,2351
21,3231
22,39
23,981
24,2293
25,957
26,3042
27,2102
28,2689
29,3328
30,121
31,690
32,299
33,487
34,132
35,1121
36,3127
37,992
38,4280
39,1215
40,3330
41,1282
42,4236
43,782
44,706
45,354
46,2140
47,2304
48,4159
49,4075
50,264
51,721
52,715
53,2022
54,868
55,3655
56,2502
57,3023
58,1388
59,3151
60,3559
61,3894
62,3838
63,3311
64,408
65,937
66,2631
67,2236
68,1245
69,668
70,1733
71,1909
72,4034
73,2471
74,1444
75,3489
76,1336
77,3387
78,254
79,687
80,2426
81,3767
82,3268
83,2506
84,3796
85,4156
86,643
87,1424
88,1425
89,3605
90,2644
91,1116
92,2647
93,717
94,137
95,2054
96,1272
97,1801
98,304
99,3829
100,3397
101,2909
102,4354
103,4064
104,1082
105,932
106,2651
107,3447
108,535
109,2941
110,2049
111,1331
112,716
113,3623
114,4085
115,3428
116,3172
117,3781
118,3710
119,2520
120,850
121,2492
122,3166
123,1974
124,2294
125,116
126,3700
127,982
128,3091
129,3650
130,3211
131,607
132,1645
133,2930
134,2529
135,1643
136,2507
137,1725
138,350
139,48
140,200
141,312
142,2282
143,2324
144,81
145,2468
146,158
147,4065
148,3558
149,1681
150,2758
151,3863
152,3498
153,2931
154,4229
155,2114
156,552
157,3230
158,1962
159,377
160,2357
161,2143
162,1203
163,779
164,2429
165,2686
166,2071
167,246
168,3157
169,3356
170,2248
171,3868
172,813
173,458
174,3006
175,1744
176,2637
177,683
178,2074
179,415
180,4301
181,3853
182,1411
183,701
184,2929
185,2003
186,1440
187,2933
188,3007
189,1803
190,1353
191,2047
192,3552
193,751
194,1530
195,822
196,3740
197,3016
198,945
199,2171
200,2156
201,562
202,2431
203,2857
204,160
205,3811
206,2766
207,1638
208,2549
209,4177
210,4205
211,2786
212,2473
213,1868
214,20
215,3687
216,2971
217,3816
218,3306
219,3705
220,4183
221,3580
222,1154
223,2440
224,3574
225,1854
226,339
227,2808
228,1689
229,3528
230,2380
231,21
232,4304
233,444
234,4190
235,1959
236,3712
237,1592
238,464
239,2494
240,1032
241,1016
242,1827
243,4165
244,3233
245,2252
246,810
247,17
248,3358
249,383
250,2292
251,1466
252,951
253,2661
254,1251
255,2129
256,165
257,3905
258,3734
259,1292
260,3516
261,10
262,3429
263,3725
264,943
265,30
266,2537
267,2804
268,1171
269,80
270,1917
271,1018
272,3890
273,1159
274,3483
275,329
276,3255
277,3537
278,60
279,3859
280,210
281,488
282,2190
283,3954
284,2742
285,4240
286,2760
287,2470
288,2669
289,1516
290,2966
291,2417
292,3676
293,1625
294,1789
295,2575
296,1262
297,4056
298,645
299,3583
300,1847
301,2083
302,637
303,450
304,1131
305,3862
306,447
307,2809
308,2346
309,3512
310,641
311,4312
312,1402
313,1141
314,2612
315,4211
316,2316
317,1547
318,112
319,808
320,273
321,3116
322,3601
323,517
324,499
325,2092
326,1150
327,1554
328,1828
329,2685
330,2404
331,1289
332,2343
333,3105
334,730
335,2164
336,2982
337,1644
338,2118
339,457
340,1326
341,713
342,4063
343,1575
344,2876
345,1396
346,1935
347,2645
348,4208
349,630
350,2701
351,2018
352,3995
353,559
354,3341
355,419
356,581
357,84
358,1808
359,902
360,3678
361,2202
362,2352
363,130
364,3357
365,2138
366,1626
367,3147
368,4048
369,4341
370,1599
371,2475
372,2337
373,2639
374,2467
375,2320
376,3369
377,1720
378,3569
379,263
380,2464
381,1661
382,1295
383,3699
384,4299
385,2527
386,4180
387,2295
388,492
389,2667
390,3097
391,3657
392,4015
393,3509
394,2658
395,3653
396,2691
397,3524
398,1695
399,3381
400,1096
401,745
402,1608
403,2306
404,3702
405,967
406,2456
407,2196
408,608
409,33
410,2934
411,3426
412,1800
413,1306
414,1312
415,1892
416,837
417,3040
418,346
419,3401
420,1740
421,3288
422,4149
423,704
424,2060
425,1244
426,1061
427,2119
428,657
429,1038
430,2833
431,979
432,743
433,3256
434,3969
435,3981
436,4013
437,3092
438,1073
439,2257
440,1843
441,692
442,1866
443,3063
444,201
445,3649
446,1673
447,3967
448,899
449,4052
450,2959
451,2098
452,916
453,1231
454,2608
455,726
456,2315
457,2793
458,1546
459,119
460,1669
461,3903
462,1594
463,1049
464,2528
465,3115
466,2185
467,3607
468,871
469,4062
470,3620
471,2310
472,2696
473,1186
474,184
475,3910
476,1183
477,4061
478,2653
479,3363
480,152
481,3501
482,1387
483,2852
484,677
485,343
486,1196
487,1652
488,1329
489,2861
490,2780
491,3243
492,3043
493,2500
494,123
495,2508
496,3892
497,2189
498,1878
499,3630
500,4353
501,4227
502,944
503,3197
504,710
505,613
506,1982
507,2516
508,1783
509,3926
510,1352
511,3753
512,1314
513,3948
514,1769
515,1788
516,820
517,965
518,4306
519,1967
520,164
521,61
522,2893
523,3665
524,1755
525,4129
526,3797
527,2413
528,430
529,368
530,628
531,1684
532,2810
533,3130
534,712
535,1583
536,2676
537,227
538,3632
539,2757
540,3642
541,3534
542,2704
543,3541
544,638
545,3909
546,3618
547,353
548,2365
549,1447
550,2070
551,4292
552,2369
553,3684
554,3951
555,2992
556,3198
557,2025
558,1249
559,3070
560,2191
561,3806
562,4072
563,2385
564,2889
565,3486
566,558
567,4246
568,360
569,3828
570,1089
571,2428
572,3784
573,3138
574,1069
575,1325
576,203
577,1531
578,4231
579,1698
580,1773
581,3054
582,1093
583,1741
584,2710
585,3346
586,2695
587,3078
588,2922
589,4080
590,1214
591,3517
592,3821
593,2640
594,2160
595,3659
596,580
597,4342
598,4001
599,2774
600,878
601,3845
602,1926
603,3298
604,290
605,3080
606,4206
607,2824
608,253
609,2960
610,861
611,4265
612,1403
613,1476
614,762
615,390
616,1973
617,3050
618,97
619,1006
620,1247
621,4308
622,3557
623,1933
624,2847
625,3625
626,1617
627,1304
628,1224
629,56
630,3158
631,1369
632,3014
633,1996
634,665
635,841
636,3876
637,1765
638,1482
639,65
640,1302
641,3066
642,4058
643,2688
644,936
645,125
646,1099
647,1405
648,1658
649,2952
650,2123
651,4131
652,1651
653,1407
654,3210
655,3316
656,1263
657,1421
658,231
659,2535
660,1579
661,3584
662,3107
663,3458
664,2066
665,1739
666,3919
667,62
668,3805
669,2912
670,2372
671,2237
672,1590
673,2683
674,2203
675,2245
676,344
677,883
678,3843
679,509
680,1671
681,2630
682,295
683,1323
684,156
685,3817
686,2125
687,4313
688,3938
689,727
690,1255
691,2225
692,332
693,1664
694,3482
695,134
696,3865
697,2163
698,3693
699,26
700,2289
701,195
702,3780
703,1528
704,374
705,739
706,2910
707,1875
708,2605
709,2659
710,3695
711,1182
712,2911
713,599
714,482
715,3438
716,3439
717,442
718,4082
719,4086
720,1944
721,407
722,3062
723,3872
724,4291
725,271
726,1097
727,847
728,2395
729,2307
730,1980
731,2108
732,2288
733,1823
734,4324
735,3423
736,2536
737,334
738,2712
739,1437
740,3661
741,1238
742,2652
743,2660
744,3194
745,100
746,3234
747,3961
